,logFC,t,P.Value,adj.P.Val,B,sig
ABCA8,-0.374064490848468,-1.95343829296037,0.0533320877360096,0.0900267497624638,-4.87171343486946,Not
HOXD10,-0.162500961919998,-1.95265951106795,0.0534255789670703,0.0901686387512053,-4.87317534050062,Not
LMF2,-0.0919544540119279,-1.95231887295702,0.0534665155018895,0.0902217944792612,-4.87381460529972,Not
MAP3K14,-0.160739049770913,-1.95216182831596,0.0534853974452327,0.0902377221021616,-4.8741092910386,Not
DLC1,0.143367632048205,1.9511355240495,0.053608932105724,0.0904301774408294,-4.87603455158728,Not
RAB33A,-0.105968448553394,-1.95104297062694,0.0536200844820278,0.0904330263519692,-4.87620812767109,Not
RASL10A,-0.161358762369665,-1.95075844761226,0.0536543808484098,0.0904749008977244,-4.87674167838987,Not
SOX13,-0.122496588438408,-1.94964236723354,0.0537890923619233,0.0906860562121629,-4.87883390407639,Not
TMEM80,-0.122092322686566,-1.94913356242516,0.053850600314129,0.0907737408011671,-4.87978734915318,Not
MPZL1,0.105601550587304,1.94886524127288,0.053883060852817,0.0908124390669345,-4.88029006054643,Not
CXCL9,0.578455867083782,1.94728710718815,0.0540743131759764,0.091118698062005,-4.88324545873135,Not
POR,-0.127733908500043,-1.94702617066724,0.0541059910535268,0.0911560032629587,-4.88373390401757,Not
HOXA11,-0.11219391523572,-1.94677264618207,0.0541367841414587,0.091180522613307,-4.88420841634782,Not
RPRD1A,-0.158051860724727,-1.94674923826764,0.0541396280146404,0.091180522613307,-4.88425222516544,Not
ATP6V1C1,-0.0722018081181828,-1.94657078270295,0.0541613130843027,0.091200970543365,-4.88458619552491,Not
ZDHHC6,-0.14552940998316,-1.94480650829405,0.0543760950033468,0.0915465052593345,-4.88788640853633,Not
ELANE,-0.0953390014246613,-1.94406098249146,0.0544670712497753,0.0916835182073019,-4.88928013453195,Not
COL5A1,0.272120024600102,1.94356014660995,0.0545282603329179,0.091770351486679,-4.89021614437354,Not
APEH,-0.171412199610138,-1.94284327987294,0.0546159438968005,0.0919017361996523,-4.89155550215065,Not
ITIH5,-0.253863554286433,-1.94151631160052,0.0547785666594758,0.0921591519362589,-4.89403352768221,Not
UBXN7,0.125414361175427,1.94135880510764,0.0547978965647985,0.0921754443888777,-4.89432755586606,Not
PTPN1,-0.131064804377305,-1.94057668302974,0.0548939675378319,0.092320794401887,-4.89578726748406,Not
CLCN3,-0.136426068167676,-1.9368891985964,0.0553488351905508,0.0930694121205179,-4.90266200722548,Not
SLC30A5,-0.137060320049979,-1.9367416781478,0.0553670985505311,0.0930837427425889,-4.90293678246747,Not
KRIT1,0.0886325661039704,1.93564928336983,0.0555024979677803,0.0932949640422355,-4.90497089669958,Not
SFRP4,-0.123152396144943,-1.93476359831178,0.0556124814991155,0.0934633966242609,-4.90661931758174,Not
